description,pricing,reviews,image
"Samsung UE55MU6179U 55 Zoll Flat Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV), Schwarz","EUR 729,00EUR 999,00+ EUR 6,99 Versandkosten","4,3 von 5 Sternen 639",https://images-eu.ssl-images-amazon.com/images/I/61RWGHum2fL._AC_US200_.jpg
"DYON Enter 40 Pro-X 101,6 cm (40 Zoll) Fernseher (Full-HD, Triple Tuner, DVB-T2 H.265 /HEVC)","EUR 199,99Prime",4 von 5 Sternen 528,https://images-eu.ssl-images-amazon.com/images/I/51iNb-ysWiL._AC_US200_.jpg
"Samsung MU6179 108 cm (43 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","EUR 549,00EUR 749,00+ EUR 6,99 Versandkosten","4,3 von 5 Sternen 639",https://images-eu.ssl-images-amazon.com/images/I/61RWGHum2fL._AC_US200_.jpg
"Samsung MU6199 138 cm (55 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","EUR 704,28EUR 999,00","4,1 von 5 Sternen 282",https://images-eu.ssl-images-amazon.com/images/I/611GKw3CXBL._AC_US200_.jpg
"Techwood H32T11A 81 cm (32 Zoll) Fernseher (HD Ready, Triple Tuner)","EUR 169,99EUR 249,99Prime","4,3 von 5 Sternen 131",https://images-eu.ssl-images-amazon.com/images/I/51a9a8DryQL._AC_US200_.jpg
"Dyon Live 22 Pro 54.6 cm (21.5 Zoll) Fernseher (Full-HD, Triple Tuner, DVB-T2 H.265 /HEVC)","EUR 99,99EUR 249,95Prime",4 von 5 Sternen 283,https://images-eu.ssl-images-amazon.com/images/I/51bJfdUcO8L._AC_US200_.jpg
"Samsung MU6179 127cm (50 Zoll) Flat Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","EUR 640,00EUR 899,00+ EUR 6,99 Versandkosten","4,3 von 5 Sternen 639",https://images-eu.ssl-images-amazon.com/images/I/61yBrANiyuL._AC_US200_.jpg
"Telefunken XU43D101 108 cm (43 Zoll) Fernseher (4K Ultra HD, Triple Tuner)","EUR 302,95EUR 419,99Prime",4 von 5 Sternen 49,https://images-eu.ssl-images-amazon.com/images/I/519j-UC3quL._AC_US200_.jpg
"Samsung J4570 80 cm (32 Zoll) Fernseher (HD, Triple Tuner, Smart TV)","EUR 445,25(1 neuer Artikel)","3,9 von 5 Sternen 140",https://images-eu.ssl-images-amazon.com/images/I/516QNYtN7QL._AC_US200_.jpg
"[Gesponsert]SHARP LED HD TV 60 cm (24 Zoll), [Energieklasse A+], LC-24DHF4012E","EUR 289,90EUR 449,00Prime","3,5 von 5 Sternen 133",https://images-eu.ssl-images-amazon.com/images/I/51hKH8ekPQL._AC_US200_.jpg
"Samsung MU6199 108 cm (43 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","EUR 479,00EUR 749,00Prime","4,1 von 5 Sternen 282",https://images-eu.ssl-images-amazon.com/images/I/611GKw3CXBL._AC_US200_.jpg
"Samsung K5000 54 cm (22 Zoll) Fernseher (Full HD, LED, DVB-C/T2 Tuner)","EUR 149,90EUR 249,00","4,1 von 5 Sternen 57",https://images-eu.ssl-images-amazon.com/images/I/51lHxq7VkWL._AC_US200_.jpg
"Telefunken XF32D401 81 cm (32 Zoll) Fernseher (Full HD, Smart TV, Triple Tuner)","EUR 1.949,98EUR 3.799,00","4,1 von 5 Sternen 240",https://images-eu.ssl-images-amazon.com/images/I/517l3pIhvuL._AC_US200_.jpg
"Samsung MU6199 163 cm (65 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","EUR 229,99EUR 329,99Prime","3,8 von 5 Sternen 232",https://images-eu.ssl-images-amazon.com/images/I/51yHAad96BL._AC_US200_.jpg
"Samsung MU6199 147cm (58 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","EUR 1.065,00EUR 1.899,00","4,1 von 5 Sternen 282",https://images-eu.ssl-images-amazon.com/images/I/611GKw3CXBL._AC_US200_.jpg
"Thomson 43UC6326 109 cm (43 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","EUR 649,00EUR 1.099,00Prime","4,1 von 5 Sternen 282",https://images-eu.ssl-images-amazon.com/images/I/61UyE1ScyfL._AC_US200_.jpg
"LG 49LJ515V 123 cm (49 Zoll) Fernseher (Full HD, Triple Tuner)","EUR 359,99EUR 549,00Prime","3,8 von 5 Sternen 139",https://images-eu.ssl-images-amazon.com/images/I/41TkGuh-pIL._AC_US200_.jpg
"Samsung MU6199 123 cm (49 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","EUR 1.299,99Prime","4,1 von 5 Sternen 184",https://images-eu.ssl-images-amazon.com/images/I/412hTIllO6L._AC_US200_.jpg
"Telefunken D50U293N4CW 127 cm (50 Zoll) Fernseher (4K Ultra HD, Triple Tuner, Smart TV)","EUR 327,42(5 gebrauchte und neue Artikel)","3,9 von 5 Sternen 39",https://images-eu.ssl-images-amazon.com/images/I/31jZQkOgzpL._AC_US200_.jpg
"Samsung M5570 123 cm (49 Zoll) Fernseher (Full HD, Triple Tuner, Smart TV)","EUR 544,05(8 gebrauchte und neue Artikel)","4,1 von 5 Sternen 282",https://images-eu.ssl-images-amazon.com/images/I/611GKw3CXBL._AC_US200_.jpg
"Telefunken XF32D101 81 cm (32 Zoll) Fernseher (Full HD, Triple Tuner)Schwarz","EUR 399,99EUR 539,99Prime","3,9 von 5 Sternen 140",https://images-eu.ssl-images-amazon.com/images/I/51ssJM78oUL._AC_US200_.jpg
"Dyon Live 24 Pro 60 cm (23.6 Zoll) Fernseher (Full-HD, Triple Tuner, DVB-T2 H.265 /HEVC)","EUR 499,00EUR 799,00Prime","3,9 von 5 Sternen 94",https://images-eu.ssl-images-amazon.com/images/I/511rHFVFUkL._AC_US200_.jpg
"Thomson 22FC3116 56 cm (22 Zoll) Fernseher (Full HD, Triple-Tuner)","EUR 215,89EUR 319,99Prime","3,8 von 5 Sternen 232",https://images-eu.ssl-images-amazon.com/images/I/51bZOPWHy-L._AC_US200_.jpg
"LG 65UJ6309 164 cm (65 Zoll) Fernseher (Ultra HD, Triple Tuner, Active HDR, Smart TV)","EUR 119,99Prime",4 von 5 Sternen 283,https://images-eu.ssl-images-amazon.com/images/I/41ErylSGwSL._AC_US200_.jpg
"Samsung MU7009 189 cm (75 Zoll) Fernseher (Ultra HD, Twin Tuner, HDR 1000, Smart TV)","EUR 110,29(4 gebrauchte Artikel)","4,1 von 5 Sternen 96",https://images-eu.ssl-images-amazon.com/images/I/51-yk5gFSYL._AC_US200_.jpg
"Hisense H43NEC5205 108 cm (43 Zoll) Fernseher (Ultra HD, Triple Tuner, Smart-TV)","EUR 980,00EUR 1.799,00+ EUR 6,99 Versandkosten","4,1 von 5 Sternen 154",https://images-eu.ssl-images-amazon.com/images/I/51QLrYhFEvL._AC_US200_.jpg
"Telefunken XU50D401 127 cm (50 Zoll) Fernseher (4K Ultra HD, Smart TV, Triple Tuner)","EUR 1.799,00EUR 3.199,00",4 von 5 Sternen 131,https://images-eu.ssl-images-amazon.com/images/I/5124fECFX7L._AC_US200_.jpg
"Samsung MU8009 163 cm (65 Zoll) Fernseher (Ultra HD, Twin Tuner, HDR 1000, Smart TV)","EUR 2.699,00EUR 4.699,00",4 von 5 Sternen 43,https://images-eu.ssl-images-amazon.com/images/I/51n9+2ODqWL._AC_US200_.jpg
